year,driverId,constructorId
1987,117,1
1987,145,18
1987,167,18
1987,158,21
1987,118,21
1987,170,22
1987,123,22
1987,166,25
1987,156,25
1987,163,27
1987,160,27
1987,137,3
1987,119,3
1987,95,3
1987,102,32
1987,138,32
1987,114,33
1987,112,33
1987,131,34
1987,119,34
1987,110,34
1987,122,37
1987,169,39
1987,90,39
1987,78,42
1987,99,45
1987,171,45
1987,133,45
1987,84,49
1987,157,49
1987,77,6
1987,105,6
1986,177,1
1986,117,1
1986,110,18
1986,145,18
1986,123,21
1986,176,21
1986,157,21
1986,77,22
1986,170,22
1986,166,25
1986,84,25
1986,178,26
1986,175,26
1986,158,26
1986,172,27
1986,163,27
1986,112,27
1986,137,3
1986,95,3
1986,102,32
1986,174,32
1986,119,34
1986,173,34
1986,118,34
1986,122,39
1986,160,45
1986,180,45
1986,133,45
1986,157,45
1986,156,49
1986,179,49
1986,105,6
1986,140,6
1985,187,1
1985,182,1
1985,117,1
1985,94,18
1985,77,21
1985,123,21
1985,185,25
1985,84,25
1985,166,25
1985,140,25
1985,122,25
1985,178,26
1985,166,27
1985,172,27
1985,110,27
1985,177,3
1985,95,3
1985,102,32
1985,173,32
1985,176,34
1985,137,34
1985,183,34
1985,175,4
1985,118,4
1985,183,4
1985,179,45
1985,160,45
1985,156,49
1985,157,49
1985,112,50
1985,181,50
1985,186,50
1985,158,51
1985,119,51
1985,184,52
1985,160,53
1985,170,53
1985,140,6
1985,163,6
1985,105,6
1984,117,1
1984,182,1
1984,176,21
1984,123,21
1984,185,25
1984,191,25
1984,140,25
1984,84,25
1984,183,27
1984,110,27
1984,172,3
1984,177,3
1984,95,32
1984,173,32
1984,137,34
1984,190,34
1984,181,34
1984,170,34
1984,118,4
1984,175,4
1984,166,4
1984,189,45
1984,160,45
1984,191,50
1984,112,50
1984,156,50
1984,158,51
1984,119,51
1984,179,52
1984,184,52
1984,140,53
1984,188,53
1984,102,53
1984,94,53
1984,77,54
1984,181,54
1984,105,6
1984,163,6
1983,182,1
1983,187,1
1983,192,21
1983,123,21
1983,176,21
1983,178,21
1983,105,25
1983,193,25
1983,196,27
1983,197,27
1983,156,3
1983,177,3
1983,172,3
1983,173,32
1983,95,32
1983,137,34
1983,119,34
1983,117,4
1983,158,4
1983,160,45
1983,190,45
1983,194,50
1983,198,50
1983,168,50
1983,186,50
1983,184,51
1983,110,51
1983,140,52
1983,118,53
1983,152,53
1983,181,54
1983,195,55
1983,188,55
1983,175,6
1983,163,6
1982,182,1
1982,187,1
1982,205,21
1982,184,21
1982,176,21
1982,105,25
1982,201,25
1982,205,25
1982,172,27
1982,158,27
1982,199,3
1982,177,3
1982,206,3
1982,207,3
1982,90,32
1982,95,32
1982,173,32
1982,209,32
1982,137,34
1982,119,34
1982,208,37
1982,211,37
1982,200,37
1982,196,37
1982,163,4
1982,117,4
1982,204,45
1982,197,45
1982,152,51
1982,110,51
1982,170,53
1982,118,53
1982,181,54
1982,194,54
1982,209,55
1982,210,55
1982,206,55
1982,136,55
1982,192,56
1982,195,57
1982,175,6
1982,202,6
1982,207,6
1982,203,6
1981,110,1
1981,187,1
1981,216,21
1981,119,21
1981,198,21
1981,105,25
1981,214,25
1981,217,25
1981,158,25
1981,175,27
1981,197,27
1981,172,27
1981,219,27
1981,199,3
1981,178,3
1981,95,32
1981,173,32
1981,212,34
1981,137,34
1981,194,37
1981,206,37
1981,163,4
1981,117,4
1981,215,45
1981,160,45
1981,194,45
1981,213,45
1981,197,45
1981,220,45
1981,152,51
1981,207,51
1981,205,53
1981,118,53
1981,136,54
1981,201,54
1981,175,55
1981,176,55
1981,192,56
1981,177,56
1981,218,57
1981,194,57
1981,176,57
1981,202,6
1981,203,6
1980,226,1
1980,187,1
1980,117,1
1980,181,21
1980,119,21
1980,200,21
1980,191,21
1980,206,25
1980,197,25
1980,191,25
1980,202,27
1980,172,27
1980,209,3
1980,214,3
1980,178,3
1980,199,3
1980,228,3
1980,211,3
1980,207,32
1980,95,32
1980,173,32
1980,217,34
1980,212,34
1980,137,34
1980,219,4
1980,163,4
1980,158,45
1980,230,51
1980,221,51
1980,110,51
1980,152,51
1980,176,54
1980,136,54
1980,229,54
1980,224,56
1980,177,56
1980,227,57
1980,209,57
1980,223,57
1980,136,57
1980,209,58
1980,140,58
1980,225,58
1980,222,6
1980,203,6
1979,175,1
1979,187,1
1979,217,182
1979,137,182
1979,182,182
1979,182,204
1979,137,204
1979,200,21
1979,119,21
1979,202,25
1979,206,25
1979,209,25
1979,197,25
1979,172,27
1979,235,27
1979,221,27
1979,178,3
1979,223,3
1979,212,32
1979,207,32
1979,199,32
1979,219,4
1979,163,4
1979,152,51
1979,230,51
1979,233,54
1979,224,56
1979,237,56
1979,176,57
1979,206,57
1979,236,57
1979,173,58
1979,136,58
